Section,Category,Type,Manufactured,Price,Energy_value
Бакалея,Продукты быстрого приготовления,Хлопья и каши,"ООО ""Колос-Экспресс""",69,140.0
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,ООО «Фонте Аква ПК»,62,15.0
Бакалея,Диетические продукты,Безглютеновые и соевые продукты,Molino di Ferro S.p.A.,306,450.0
Бакалея,Диетические продукты,Заменители сахара и диабетика,"ООО ""МАЛВИКЪ""",42,276.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка",Шоколад и шоколадные изделия,"ООО ""ТрансКэроб-Рус""",149,560.0
Товары для животных,Корма и лакомства,Корма и лакомства для кошек,"ООО ""Марс""",89,386.0
Детские товары,Детское питание,Детские молочные продукты,"(3) АО ""ВБД"", (4) ООО ""ВБД"". Цифра изготовителя указана в маркировке.",35,64.0
Напитки,"Соки, нектары",Соки,"ОАО ""Сады Придонья""",89,46.0
Бакалея,Диетические продукты,Заменители сахара и диабетика,The Belgian Chocolate group NV,179,473.0
Бакалея,"Соль, сахар, специи",Специи и приправы,"АО ""Компания ПРОКСИМА""",56,290.0
Бакалея,Консервы и мёд,Мясные консервы,"СООО ""Квинфуд""",172,200.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка","Конфеты, марципан, драже",Ferrero Ardennes S.A,79,33.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка",Шоколад и шоколадные изделия,"ООО ""СОБРАНИЕ""",274,560.0
Напитки,"Холодный чай, кофе",None,Лотте Чхильсон Компани Лимитед,44,40.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"ООО ""Пит-продукт""",99,242.0
Бакалея,Консервы и мёд,Овощные консервы,"ООО ""Славянский консервный комбинат""",53,110.0
Товары для животных,Корма и лакомства,Корма и лакомства для собак,"Wenling Xintai Arts &amp, Crafts Co., Ltd",189,270.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли","Печенье, галеты, крекеры","ООО ""Кондитерское предприятие ""Полет""",74,435.0
"Молочные продукты, сыр, яйца",Сыры,Сыры твердые и полутвердые,"ООО ""Бобровский сырзавод""",739,370.0
Детские товары,Детское питание,Детское пюре,"""HiPP Production Gmunden GmbH&amp,Co.Kg""",62,50.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка","Конфеты, марципан, драже",J.N.T.C. Tromphenburg B.V.,194,382.0
Собственное производство,Кулинария,Первые и вторые блюда,"ООО ""Гиперглобус""",349,70.0
Детские товары,Детское питание,Детские каши,"ООО ""Ивановский комбинат детского питания""",28,65.2
Напитки,Морсы и компоты,None,"ООО ""Лебедянский""",133,50.0
"Молочные продукты, сыр, яйца",Сыры,Сыры твердые и полутвердые,"ЗАО ""Сернурский сырзавод""",1369,355.0
Бакалея,Продукты быстрого приготовления,"Лапша, супы, пюре","ООО ТПК ""БиоФуд""",64,270.0
"Хлеб, кондитерские изделия","Мармелад, зефир, пастила",Зефир и маршмеллоу,"ООО ПК ""Старые традиции""",189,324.0
Бакалея,Консервы и мёд,Мясные консервы,"ООО КМПЗ ""БАЛТПРОММЯСО""",147,318.0
Бакалея,Крупы и макаронные изделия,Другие крупы,"ООО ""Гарнец""",78,340.0
Бакалея,"Соль, сахар, специи",Специи и приправы,"ООО ""Новосибирский пищевой комбинат""",31,319.1
Бакалея,Крупы и макаронные изделия,Макароны и паста,EUROPASTA SE.,96,353.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка","Конфеты, марципан, драже","АО ""Би-энд-Би (B&amp,B)""",77,385.0
Собственное производство,"Шашлык, барбекю",None,"ООО ""Гиперглобус""",259,160.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка","Конфеты, марципан, драже","ТОО ""Якар""",274,335.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Замороженная рыба,"ООО ""Фландерр""",189,73.0
Собственное производство,Рыбный ряд,Охлажденная рыба и полуфабрикаты,"ООО ""Гиперглобус""",399,72.0
"Молочные продукты, сыр, яйца",Сыры,Сыры с плесенью,"ООО ""Жуковское молоко""",329,279.0
Бакалея,Консервы и мёд,Овощные консервы,ООО Славянский консервный комбинат,68,14.0
"Молочные продукты, сыр, яйца",Сыры,Сыры мягкие и творожные,"ООО ""Хохланд руссланд""",89,267.0
Замороженные продукты,"Пельмени, вареники, хинкали",Пельмени,"ООО ""Морозко""",445,296.0
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,"АО ""ВБД Напитки""",99,50.0
Товары для животных,Корма и лакомства,Корма и лакомства для кошек,"ООО ""Продконтрактинвест""",99,380.0
"Молочные продукты, сыр, яйца",Йогурт,Йогурты питьевые,"ООО ""Данон Индустрия""",55,76.0
Бакалея,"Растительные масла, соусы",Азиатская кухня,"ООО ""Состра""",45,150.0
"Хлеб, кондитерские изделия","Хлеб, лаваш, лепешки",Хлеб,"ООО ""Сентрум""",29,255.0
Бакалея,Консервы и мёд,Овощные консервы,"ЗАО ""Булгарконсерв""",64,84.0
Бакалея,Продукты быстрого приготовления,"Сухие завтраки, мюсли, гранола","ООО ""Келлогг Рус""",78,380.0
Бакалея,Продукты быстрого приготовления,Хлопья и каши,"ПАО ""Петербургский мельничный комбинат""",57,310.0
Бакалея,"Соль, сахар, специи",Специи и приправы,"ЗАО ""ЮРОП ФУДС ГБ""",42,170.0
Детские товары,Детское питание,Детские каши,"ООО ""Нестле Россия""",119,371.0
Бакалея,Консервы и мёд,"Варенье, джемы, пюре","ЗАО ""Эссен Продакшн АГ""",159,272.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты","ООО ""Девелей""",64,306.0
"Молочные продукты, сыр, яйца","Масло сливочное, маргарин",Масло сливочное,"ООО ""Невские сыры""",295,748.0
"Молочные продукты, сыр, яйца","Коктейли, десерты, каши","Десерты, желе","ООО ""Калужский продукт""",93,239.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты","ООО ""Петропродукт-Отрадное""",62,110.0
Товары для животных,Корма и лакомства,Корма и лакомства для собак,"ООО ""Рубис""",92,324.0
Бакалея,Диетические продукты,Спортивное питание,"ООО ""Здоровая планета""",92,390.0
Бакалея,"Растительные масла, соусы",Растительные масла,Monini S.p.A.,799,900.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"ОАО ""ЧМПЗ""",94,282.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Соленая рыба,"ОАО ""Рыбообрабатывающий комбинат №1""",194,187.6
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,"ООО ""ПепсиКо Холдингс""",99,55.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,Сырки творожные,"ООО ""Молочный завод ""Преображенский""",48,391.0
"Хлеб, кондитерские изделия",Торты и пирожные,Свежие торты и пирожные,"ОАО ""Хлебпром""",186,430.0
"Мясо, рыба, кулинария",Мясная гастрономия,"Деликатесы, паштеты, заливное","ООО ""МПЗ ""Москворецкий""",379,157.0
Замороженные продукты,"Мороженое, десерты",None,ТПКУП «Минский хладокомбинат № 2»,289,230.0
Детские товары,Детское питание,Детские каши,"ООО ""Ивановский комбинат детского питания""",28,68.4
"Мясо, рыба, кулинария",Кулинария,Салаты и закуски,ИП Корниенко А.А.,64,329.0
Бакалея,"Орехи, сухофрукты, семечки",Сухофрукты и цукаты,"ООО ""БИОПАК""",249,260.0
"Молочные продукты, сыр, яйца",Сыры,Сыры плавленые,"См. цифру в маркировке: 3 - АО ""ВБД"", 4 - ООО ""ВБД""",114,234.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка",Шоколад и шоколадные изделия,"Alfred Ritter GmbH &amp, Co.Kg",94,493.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Замороженные морепродукты,"ООО ""Вичюнай-Русь""",749,112.9
Бакалея,Диетические продукты,Заменители сахара и диабетика,"ООО ""Диал-К""",69,340.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,Творог и творожные продукты,"ОАО ""Савушкин продукт""",129,147.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Морепродукты и салаты,"ООО ""ТД ""БАЛТИЙСКИЙ БЕРЕГ""",89,349.0
Бакалея,Продукты быстрого приготовления,"Сухие завтраки, мюсли, гранола","ООО ""Объединение ""Союзпищепром""",49,390.0
Замороженные продукты,"Пельмени, вареники, хинкали","Хинкали, чебуреки, манты","ООО ""Торгово-промышленная компания ""Вилон""",22,335.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"АО ""Новая столица""",159,389.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,"Ряженка, простокваша, мацони","АО ""ВБД""",16,67.0
Бакалея,Консервы и мёд,"Варенье, джемы, пюре","ООО ""ПК ОКИМ""",157,260.0
Собственное производство,Кондитерские изделия,Торты,"ООО ""Гиперглобус""",419,379.4
"Молочные продукты, сыр, яйца",Кисломолочные продукты,Творог и творожные продукты,"АО ""Данон Россия""",69,133.0
Бакалея,Крупы и макаронные изделия,Смеси круп,"ООО ""Промпоставка-М""",119,341.0
Товары для животных,Корма и лакомства,Корма и лакомства для кошек,"ООО ""Марс""",10,65.0
Бакалея,Крупы и макаронные изделия,Макароны и паста,Dalla Costa Alimentare S.r.I.,149,357.0
"Хлеб, кондитерские изделия","Хлеб, лаваш, лепешки",Хлебцы и тарталетки,LINKOSUON LEIPOMO OY,162,335.0
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,"АО ""Мултон""",124,48.0
Товары для животных,Корма и лакомства,Корма и лакомства для собак,"ООО ""Марс""",12,60.0
Бакалея,Консервы и мёд,Овощные консервы,"ООО ""Бондюэль - Кубань"" или ООО ""Кубанские консервы"".",76,57.8
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Морепродукты и салаты,"ОАО ПКП ""Меридиан""",99,130.0
"Молочные продукты, сыр, яйца",Сыры,Сыры твердые и полутвердые,Беларусь,712,370.0
Бакалея,Диетические продукты,Заменители сахара и диабетика,"ООО Научно-производственное объединение ""Компас Здоровья""",69,337.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Икра,"ООО ""13""",699,263.0
"Овощи, фрукты, зелень",Зелень и салаты,None,"ЗАО "" Белая Дача Трейдинг""",164,16.0
Товары для животных,Корма и лакомства,Корма и лакомства для кошек,"ООО ""Марс""",10,65.0
"Мясо, рыба, кулинария",Мясо,Говядина,"ООО ""Брянская мясная компания""",439,250.0
"Молочные продукты, сыр, яйца",Сыры,Сыры твердые и полутвердые,"ООО ""ПиР-ПАК""",189,342.0
"Хлеб, кондитерские изделия",Торты и пирожные,Свежие торты и пирожные,"Кондитерская фабрика ЗАО ""Круг""",199,238.2
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка",Шоколад и шоколадные изделия,"ТОО ""Иностранное предприятие ""Хамле Компани Лтд""",28,519.0
Бакалея,Крупы и макаронные изделия,Макароны и паста,"HANGZHOU WELLONG FOOD CO., LTD",67,354.0
Бакалея,"Растительные масла, соусы",Растительные масла,"ООО ""Сампо""",729,929.0
Бакалея,"Растительные масла, соусы",Растительные масла,Monini S.p.A.,534,900.0
Замороженные продукты,"Замороженные блинчики, тесто и выпечка",Замороженное тесто,"ОАО ""Фацер""",99,445.0
Бакалея,Консервы и мёд,Мёд,"ООО ""Пчелкин мед""",339,328.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,"Ряженка, простокваша, мацони","ПАО Молочный комбинат ""Воронежский""",44,64.0
Собственное производство,Кулинария,"Соки, компоты","ООО ""Гиперглобус""",79,30.0
Бакалея,"Растительные масла, соусы",Десертные соусы и сиропы,Alnatura GmbH,339,322.0
Бакалея,"Орехи, сухофрукты, семечки",Сухофрукты и цукаты,"Хай Лонг Инвестмент Трейдинг Сервис Импорт Экспорт Ко., ЛТД",45,339.0
"Молочные продукты, сыр, яйца",Йогурт,Йогурты традиционные,"ООО ""Данон Трейд""",51,129.0
Замороженные продукты,"Пельмени, вареники, хинкали",Вареники,"ООО ""АОРС""",299,178.2
Бакалея,Чипсы и снеки,Другие снеки,"Жинхен фуд Ко., Лтд",41,319.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,Творог и творожные продукты,"ООО ""КОЛОМЕНСКОЕ МОЛОКО""",82,157.0
Бакалея,Консервы и мёд,Рыбные консервы,"ООО ""БАРС""",87,219.0
Бакалея,Крупы и макаронные изделия,Гречневая крупа,"ООО ""Мистраль Трейдинг""",64,335.0
Детские товары,Детское питание,Детские каши,"ЗАО ""Инфаприм""",72,358.0
Бакалея,Продукты быстрого приготовления,"Сухие завтраки, мюсли, гранола","ООО ""Здоровая Еда""",104,131.4
Бакалея,Крупы и макаронные изделия,Рис,"ПАО ""Макаронно-кондитерское производство""",84,350.0
Детские товары,Детское питание,Детское пюре,Nestle Polska S.A. / Нестле Польска С.А.,69,41.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,Творог и творожные продукты,"ПК ""Вологодский молочный комбинат""",157,117.0
Замороженные продукты,"Замороженные фрукты, овощи, смеси",Замороженные овощи и смеси,"ООО ""Торговый дом Вологодская ягода""",89,39.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка",Наборы конфет,"ООО ""Нестле Россия""",289,574.0
Детские товары,Детское питание,"Чай, батончики, печенье",C.R.V. Corthouts NV,252,420.0
Бакалея,Мука и кулинарные ингредиенты,Смеси для выпечки,ИП Коршунов Д.В.,212,363.5
Бакалея,Чипсы и снеки,Чипсы,Kellogg Europe Trading Limited,129,484.0
Бакалея,"Растительные масла, соусы",Десертные соусы и сиропы,"ООО ""Спум Фудс""",339,260.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"ОАО ""ОМПК""",511,309.0
Детские товары,Детское питание,Детское пюре,"ОАО ""Сады Придонья""",36,44.0
Замороженные продукты,Замороженные готовые блюда и полуфабрикаты,Первые блюда,"ООО ""Кафе ин кафе Интернешнл""",61,40.0
Замороженные продукты,"Замороженные фрукты, овощи, смеси",Замороженные овощи и смеси,"ООО ""Альбатрос Си Фуд Продкшин""",112,30.0
"Молочные продукты, сыр, яйца","Молоко, сливки",Сливки,"ООО ""ВБД""",156,206.0
"Молочные продукты, сыр, яйца",Йогурт,Йогурты традиционные,"ООО ""Кампина""",45,93.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,Творог и творожные продукты,"ООО ""КОЛОМЕНСКОЕ МОЛОКО""",72,86.0
"Хлеб, кондитерские изделия","Мармелад, зефир, пастила",Мармелад,"ООО ""Белевский хлеб""",124,290.0
"Мясо, рыба, кулинария",Мясная гастрономия,"Деликатесы, паштеты, заливное","ООО ""Востряково-2""",149,340.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты",Carl Kuhne KG,374,91.0
Бакалея,Чипсы и снеки,Попкорн,"ООО ""Горячие крендели ""Север""",58,393.0
"Мясо, рыба, кулинария",Птица,Охлажденная птица,"ОАО ""Мясокомбинат Раменский""",389,390.0
Бакалея,Консервы и мёд,Рыбные консервы,"Seafman, Sociedad Ecuatoriana de Alimentos y Frigorificos Manta C.A.&lt,br/&gt,",237,403.0
Напитки,"Лимонады, тоники, газированные напитки",None,"""Кока-Кола Бевриджиз Белоруссия""",78,26.0
Бакалея,Консервы и мёд,"Варенье, джемы, пюре","ООО ""Росконсервпродукт""",114,80.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка",Жевательная резинка,"ООО ""Ригли""",246,136.0
"Молочные продукты, сыр, яйца","Коктейли, десерты, каши","Коктейли, напитки",ОАО «Белгородский молочный комбинат»,28,67.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Копченая рыба,"ООО ""Риф""",309,121.7
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка",Наборы конфет,"Lindt &amp, Sprungli S.p.a",499,634.0
Напитки,Энергетики и обогащенные напитки,None,"(МЕ) ООО ""Мегапак""&lt,br/&gt,ООО ""Пепсико Холдингс""",49,51.0
Напитки,"Лимонады, тоники, газированные напитки",None,"ООО ""Кока-кола Эйчбиси Евразия""",44,47.0
Бакалея,Чипсы и снеки,Мясные и рыбные снеки,"ООО ""Дымовское колбасное производство""",89,328.0
Бакалея,Консервы и мёд,"Варенье, джемы, пюре",St. Dalfour S.A.S.,299,210.0
Бакалея,Крупы и макаронные изделия,Другие крупы,ИП Щепетьева Н.А.,109,339.0
"Хлеб, кондитерские изделия","Халва, лукум, восточные сладости","Халва, лукум, чак-чак","ООО ""Арткондитер""",152,290.0
Товары для животных,Корма и лакомства,Корма и лакомства для кошек,Doggy AB,164,71.65
"Молочные продукты, сыр, яйца",Сыры,Сыры плавленые,"ООО ""Первая линия""",99,267.6
Детские товары,Детское питание,Детское пюре,"ОАО ""Сады Придонья""",32,46.0
Бакалея,Консервы и мёд,Овощные консервы,Olive Line Int S.L.,452,138.0
Бакалея,Диетические продукты,Безглютеновые и соевые продукты,Dr. Schar AG\SPA,434,378.0
Бакалея,Диетические продукты,Заменители сахара и диабетика,"ООО ""ВАСТЭКО Партнер""",28,487.9
"Молочные продукты, сыр, яйца",Сыры,Сыры твердые и полутвердые,"ООО ""Великолукский молочный комбинат""",148,329.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка","Конфеты, марципан, драже",AUGUST STORCK KG,22,388.0
Бакалея,"Орехи, сухофрукты, семечки",Орехи,"ООО ""Фирма ""ЭСТ""",53,540.0
Бакалея,Чипсы и снеки,Другие снеки,"ООО ""Акшая Инвайт""",119,445.0
Бакалея,"Орехи, сухофрукты, семечки",Сухофрукты и цукаты,"ООО ""ГринШир Групп""",137,562.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Замороженная рыба,"ООО ""Фландерр""",189,81.0
"Молочные продукты, сыр, яйца",Сыры,Сыры с плесенью,"ООО ""Сырный дом""",414,260.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка",Жевательная резинка,ООО «Мон’дэлис Русь»,38,175.0
Бакалея,"Растительные масла, соусы",Растительные масла,"ООО ""Гадарика""",384,825.0
Собственное производство,Мясной цех,"Охлажденное мясо, фарш","ООО ""Гиперглобус""",299,689.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка","Конфеты, марципан, драже","АО ""Эссен Продакшн АГ""",299,530.0
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,"ООО ""Лебедянский""",153,55.0
Собственное производство,Пекарня,Хлеб,"ООО ""Гиперглобус""",43,223.7
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты","АО ""Эссен Продакшн АГ""",47,72.0
Замороженные продукты,"Замороженные фрукты, овощи, смеси",Замороженные овощи и смеси,"ООО ""Вологодская ягода""",84,38.0
Детские товары,Детское питание,Детские молочные продукты,"АО ""Данон Россия""",37,77.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Соленая рыба,"""ООО ""Эстетрейд""""",398,190.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Сушеная и вяленая рыба,"ООО ""Олива-Факел""",169,190.0
Собственное производство,Кулинария,Первые и вторые блюда,"ООО ""Гиперглобус""",589,203.0
"Молочные продукты, сыр, яйца","Коктейли, десерты, каши","Каши, кисели","ООО ""Велле""",47,75.0
Бакалея,Диетические продукты,"Аптека, витамины, БАДы","ООО ""Квадрат-С""",54,210.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка","Конфеты, марципан, драже","АО ""КОНТИ-РУС""",199,400.0
"Молочные продукты, сыр, яйца",Сыры,Сыры твердые и полутвердые,Россия,899,381.0
"Хлеб, кондитерские изделия",Торты и пирожные,Торты и пирожные длительного хранения,"ООО ""Чипита Санкт-Петербург""",14,392.0
Бакалея,Консервы и мёд,Мёд,"ООО ""Пчелкин мед""",399,328.0
"Молочные продукты, сыр, яйца",Сыры,Сыры твердые и полутвердые,"ООО ""ВолкоМолоко""",299,412.0
Бакалея,Чипсы и снеки,Мясные и рыбные снеки,"ООО ""Снэкцентр""",139,98.0
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,"АО ""Хелси Вотер""",66,39.0
Бакалея,Консервы и мёд,Овощные консервы,Olive Line Int S.L.,91,133.0
"Хлеб, кондитерские изделия",Торты и пирожные,Торты и пирожные длительного хранения,"АО ""КОНТИ-РУС""",89,530.0
Бакалея,"Чай, кофе, какао","Цикорий, зерновые напитки","ООО ""СЛАВКОФЕ""",82,270.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"ОАО ""ОМПК"" / ООО ""МПЗ «Рублевский""",129,209.0
"Хлеб, кондитерские изделия",Кексы и рулеты,Рулеты,"АО КБК ""Черемушки""",99,390.0
Бакалея,Консервы и мёд,Мясные консервы,"АО ""Орелпродукт""",77,54.8
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Морепродукты и салаты,"ОАО ПКП ""Меридиан""",289,75.0
Напитки,Квас,None,"ЗАО МПБК ""Очаково""",44,30.0
"Молочные продукты, сыр, яйца",Йогурт,Йогурты традиционные,"ООО ""Эрманн""",19,140.0
Бакалея,Диетические продукты,"Отруби, клетчатка, добавки","ООО ""Сампо""",61,364.0
Бакалея,Чипсы и снеки,Чипсы,"ООО ""Фрито Лей Мануфактуринг""",99,500.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка","Конфеты, марципан, драже","ООО ""Ригли""",26,397.0
Замороженные продукты,"Мороженое, десерты",None,Mars Wrigley Confectionery,115,320.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка","Конфеты, марципан, драже","ОАО ""РОТ ФРОНТ""",376,520.0
"Молочные продукты, сыр, яйца",Йогурт,Йогурты традиционные,"АО ""Лактис""",72,95.0
Детские товары,Детское питание,"Соки, напитки","(1) ООО ""Лебедянский"", (3) АО ""ВБД"", (4) ООО ""ВБД"". Маркировку изготовителя смотри на упаковке.",32,50.0
Бакалея,Диетические продукты,Безглютеновые и соевые продукты,Casa Santiveri S.L.,166,452.0
Детские товары,Детское питание,Детское пюре,"АО ""Прогресс""",29,36.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"ООО ""Дымовское колбасное производство""",1119,494.0
Бакалея,Продукты быстрого приготовления,Хлопья и каши,"ООО ""Ресурс""",9,380.0
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,"АО ""Хелси Вотер""",66,39.0
Бакалея,"Чай, кофе, какао",Кофе зерновой,"ООО ""Паулиг Рус""",311,218.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,Сметана,"См. цифру в маркировке: 3 - АО ""ВБД"", 4 - ООО ""ВБД""",48,160.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли","Печенье, галеты, крекеры","ООО ""КОНТЕК""",104,360.0
Бакалея,Диетические продукты,"Отруби, клетчатка, добавки","ООО ""Сибирская клетчатка""",132,380.0
Бакалея,Диетические продукты,Безглютеновые и соевые продукты,"ООО ""Вего""",349,135.0
Собственное производство,Мясной цех,Деликатесы,"ООО ""Гиперглобус""",399,570.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты",Santa Maria АВ,194,31.0
"Хлеб, кондитерские изделия","Хлеб, лаваш, лепешки",Лаваш и лепешки,Santa Maria AB,214,460.0
Замороженные продукты,"Замороженные фрукты, овощи, смеси",Замороженные фрукты и ягоды,"В: ООО ""Альбатрос Си Фуд Продакшн"" или С: ООО ""Качественные продукты"". Маркировку производителя смотри на упаковке.",112,30.0
Детские товары,Детское питание,Детское пюре,"АО ""ПРОГРЕСС""",60,54.0
"Хлеб, кондитерские изделия",Булочки и сладкая выпечка,"Булочки, пончики, ватрушки","ЗАО БКК ""Коломенский""",39,340.0
Бакалея,Консервы и мёд,"Варенье, джемы, пюре",Mackays Ltd,239,274.0
Бакалея,Продукты быстрого приготовления,"Лапша, супы, пюре","ООО ""Си-Продукт""",64,341.0
Бакалея,Консервы и мёд,"Варенье, джемы, пюре","ООО ""Торговый дом ""Богучарово-Маркет""",126,260.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты",Carl Kuhne KG,374,97.0
Бакалея,Консервы и мёд,Овощные консервы,Olive Line Int S.L.,92,143.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка","Конфеты, марципан, драже","ООО ""Сириус""",406,580.0
Товары для животных,Корма и лакомства,Корма и лакомства для собак,Экспортная Торговая Компания Яньтай Тенюэ,1254,330.0
Товары для животных,Корма и лакомства,Корма и лакомства для собак,"ООО ""Рубис""",869,398.0
"Хлеб, кондитерские изделия",Торты и пирожные,Свежие торты и пирожные,"ООО ""Венский цех""",285,350.0
Бакалея,"Растительные масла, соусы",Десертные соусы и сиропы,"ООО ""Спум Фудс""",384,260.0
"Молочные продукты, сыр, яйца",Яйца,None,"ООО ""Белянка""",82,157.0
"Хлеб, кондитерские изделия","Мармелад, зефир, пастила",Зефир и маршмеллоу,"АО ""Ударница""",78,329.0
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,"ООО ""Южная соковая компания""",72,45.0
Бакалея,"Растительные масла, соусы",Растительные масла,Салов С.П.А.,689,822.0
"Хлеб, кондитерские изделия",Кексы и рулеты,Рулеты,"ООО ""Хлебсервис""",199,395.0
"Хлеб, кондитерские изделия",Кексы и рулеты,Рулеты,"ЗАО ""КМКИ ""Добрынинский""",249,290.0
Напитки,"Соки, нектары",Соки,"ООО ""Лебедянский""",89,45.0
Бакалея,"Соль, сахар, специи",Специи и приправы,МАКОРМИК ПОЛЬША АО,32,320.0
Бакалея,Консервы и мёд,Овощные консервы,"ООО ""Консервное предприятие Русское поле - Албаши""",159,16.0
Замороженные продукты,"Мороженое, десерты",None,"АО ""БРПИ""",499,230.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,Кефир,"АО ""Рузское молоко""",99,50.0
"Молочные продукты, сыр, яйца",Йогурт,Йогурты традиционные,"АО ""Московско-Медынское агропромышленное предприятие""",26,85.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка","Конфеты, марципан, драже",АУГУСТ ШТОРК КГ,39,425.0
Собственное производство,Пекарня,Хлеб,"ООО ""Гиперглобус""",99,150.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Рыбные закуски и пресервы,"ОАО ПКП ""Меридиан""",84,350.0
Бакалея,"Соль, сахар, специи",Сахар и заменитель сахара,"ОАО ""Ника""",47,398.0
"Молочные продукты, сыр, яйца","Молоко, сливки",Сливки,"См. цифру в маркировке: 3 - АО ""ВБД"", 4 - ООО ""ВБД""",74,118.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты","ООО ""Агропродукт""",74,72.5
Бакалея,Консервы и мёд,Мясные консервы,"ООО ""Экопрод""",179,202.0
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,"ООО ""Плодовое-2009""",119,34.0
Бакалея,Диетические продукты,Заменители сахара и диабетика,"ООО ""ВАСТЭКО Партнерс""",46,325.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"ООО ""Пит-Продукт""",339,376.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"ООО ""МПЗ Богородский""",249,319.0
Детские товары,Детское питание,Детское пюре,"АО ""Прогресс""",37,232.8
Бакалея,"Соль, сахар, специи",Специи и приправы,Santa Maria AB,92,230.0
Бакалея,"Чай, кофе, какао",Кофе зерновой,"ЗАО ""Московская кофейня на паяхъ""",589,13.88
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,"ООО ""Южная соковая компания""",49,45.0
"Мясо, рыба, кулинария",Мясная гастрономия,"Деликатесы, паштеты, заливное","ООО ""МПЗ Ремит""",179,430.0
Напитки,"Лимонады, тоники, газированные напитки",None,"Franklin&amp,Sons Ltd.",119,46.0
